True Sentiment,Tweet ID,Tweet
neutral,1.22253553599616E+018,BREAKING: Chicago Cubs third baseman Kris Bryant has lost his grievance against the team seeking an extra year of s… https://t.co/K4QUGpCeDq
positive,1.22420051687759E+018,Continuing my 90th birthday celebrations with another 2/3rd of my family coming from all over the country.… https://t.co/dsxZ78LX8T
negative,1.23740756716225E+018,"Yes, unless you’re old. https://t.co/SC7zcQguIA"
negative,1.23701150601904E+018,NDTV’s Nidhi Razdan interacted regularly with Twitter account of ISIS suspects who instigated Muslims to join anti-… https://t.co/SY2mhCtSWh
neutral,1.22220092321418E+018,Senator @RonWyden &amp; I are sounding the 🚨🚨:   Trump administration is pushing a proposed RULE threatening earned Soc… https://t.co/8PZvoXIlek
neutral,1.22224883011416E+018,"New national Quinnipiac poll: 75% (!) of voters, including a 49% plurality of Republicans, say witnesses should be… https://t.co/1FRPiz15uQ"
neutral,1.23637016397026E+018,How the fuck did coronavirus get to Far Rockaway  You can barely get there on the subway
positive,1.22355586800593E+018,"Before he made Castle in the Sky, Miyazaki was in Wales, supporting the miner's strike.  He based the landscapes in… https://t.co/j5i2obuxxw"
positive,1.22260248019999E+018,Good News!! Ramon Bueno was sentenced to 85.5 years in prison for shooting me and shooting at Tpr Rey Cruz and Tpr… https://t.co/YYvTyc1kTN
neutral,1.22313577767416E+018,Plz@@atiku help us 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻this is a video clip of the news paper of the incident that happend at ikeja can… https://t.co/pFGqpeKgQy
neutral,1.23602949481894E+018,I think we’ve reached the point where we can say it is a statistical impossibility that Turkey does not have a sing… https://t.co/U0GcBFUclo
neutral,1.23609411855348E+018,"“Flabbergasted” that a sick doctor would keep working?   Um, sick doctors working is the backbone of our health sys… https://t.co/OGQAuKs19c"
negative,1.23610786056981E+018,Costco banning free samples over coronavirus. https://t.co/usFpGHijEY
negative,1.22361489903465E+018,It is a sad day for America to see Senator McConnell humiliate the Chief Justice of the United States into presidin… https://t.co/Ffl5rBJiju
negative,1.2369503260092E+018,"A 93-yr old Nazi found living in Tennessee, still receiving WWII pension AND receiving Social Security checks is be… https://t.co/LjuKdh7q0m"
negative,1.22441565802223E+018,Happy birthday to my sister in service @AyannaPressley!  You disrupt the status quo and embrace who you are. And yo… https://t.co/xruo6uihqU
neutral,1.22396739271753E+018,Not Available
neutral,1.23636477592964E+018,B.C.'s provincial health officer teared up discussing the impacts of the novel coronavirus on senior citizens durin… https://t.co/yvssXAcBn1
neutral,1.22229211107E+018,Senator Dianne Feinstein is conforming that today’s LA Times report about her leaning toward acquitting Trump is FA… https://t.co/egzAA2ybKc
positive,1.22426003396751E+018,We're giving you and your someone special the chance to watch the latest film at your local Cinema! To win just tag… https://t.co/5eiRzl7BHq
neutral,1.22365222826487E+018,Tomorrow the #Trump campaign will be spending $11 million on one single #Superbowl ad. Trump does not tell the trut… https://t.co/7g5e3t5O3u
neutral,1.23165269192491E+018,How old were you when Airplane Conversations was released? https://t.co/WnU9icLWjO
negative,1.22228105915871E+018,Democrat Diane Feinstein leans toward acquitting Trump as his lawyers end their impeachment defense arguments https://t.co/979F6feJke
negative,1.2364014996071E+018,"#Breaking: Netanyahu plans to mobilize children, who ""thank G-d"" are not affected by #coronavirus, to disinfect Isr… https://t.co/rkVFHXwDxJ"
negative,1.22324275030233E+018,"On impeachment, @RandPaul says election 'chaos' is goal of Democrats, 'they hate the president so much'… https://t.co/LalUVodCpq"
positive,1.2230957978325E+018,Gotta wonder...did Susan Collins issue a statement that she was voting YES on witnesses and more documents because… https://t.co/E5JRnMixdi
positive,1.23256094290448E+018,Mum feels a bit crappy this morning  But my whiskers are as amazing as ever!!  Happy #whiskerswednesday everyone!!… https://t.co/By3sk9vz8T
positive,1.23456819060204E+018,--I was honored when MJ wanted me to play the younger him. Won't ever feel real. #GOAT!!!! https://t.co/kUcdrtguAX
positive,1.23385685973765E+018,Not Available
negative,1.23647479980908E+018,PENCE was set to evacuate infected Americans from a cruise ship. Then TRUMP stepped in — worried how “the numbers”… https://t.co/g1g4U4xqc6
neutral,1.2363243921807E+018,Not Available
neutral,1.23520444336221E+018,"Let's talk about school closures re COVID-19. It's a tough topic, scientifically and pragmatically. It's hard to es… https://t.co/DEnzhGl3zH"
negative,1.22291714222964E+018,Never got to report this. The morning after the election I got a call from a high level source. Said they’d take a… https://t.co/oICkyYThgf
neutral,1.23738284369471E+018,Fun fact: Nintendo used to compete with Lego using their own N&amp;B Block. https://t.co/fLLp39dRtg
neutral,1.2222053797964E+018,President Trump's former chief of staff John Kelly says he believes John Bolton and believes witnesses should be he… https://t.co/B12kVJDyy6
positive,1.23685431955661E+018,"EXO-Ls have donated 12,480,000 Won to help those that has been affected by Corona 19   Following the footsteps of E… https://t.co/vS58qsv2bW"
negative,1.22160751563026E+018,"It’s hard to save enough for a decent retirement, and it’s only getting harder. That's why I've got a plan to incre… https://t.co/EVRYmZKcC7"
positive,1.22437911740512E+018,Happy 85th Birthday to the legend that is Bobby Harvey aka Ma wee da’. Took him for lunch. ‘I just want soup’. Then… https://t.co/To72LoGwgM
positive,1.22377294099243E+018,I’m officially a year older today and much cooler than ever. Happy birthday to me. Say a prayer for me when you see… https://t.co/pjTN0kKMIA
positive,1.23347125026729E+018,I just got a pixie cut again &amp; I feel more powerful than ever https://t.co/rvLsQwYcn3
positive,1.23755161195566E+018,I’m gonna need everyone to say a big Thank You to Black America. If it wasn’t for our voting block voting in massiv… https://t.co/qFKrKiRwLY
positive,1.23499674703161E+018,Kim Woo Seok reportedly to take the main lead role in drama 'Twenty Twenty' produced by PLAYLIST which is famous fo… https://t.co/R1kZnWmyv7
negative,1.23615410598024E+018,"I'm extremely saddened to learn of the first fatality in our district from coronavirus, a Northwest Floridian resid… https://t.co/FKLcx0BG6d"
negative,1.23853688833779E+018,Breaking: travel agents tell me...  • Air Baltic  • Norwegian  • Korean Airlines  • Cathay Pacific  • TUI  • Virgin… https://t.co/rHkL6ibgYr
neutral,1.2222557797236E+018,"If the Senate won’t get rid of Trump, it will be up to us to get rid of them."
negative,1.22410016761748E+018,Trump spent $10 million on a commercial for tonight’s #SuperBowl.   We fixed it for him. https://t.co/7LFdugeeUj
negative,1.23663576408933E+018,Not Available
positive,1.22411422668111E+018,"It’s my honor to be in my old stomping grounds of MIAMI to intro the NFC &amp; AFC CHAMPS.  Today, I live vicariously t… https://t.co/APPv5SyhXL"
negative,1.23803542436862E+018,"South Africa is already facing an economic crisis, loadshedding, an already overburdened health system, not enough… https://t.co/mDeGndHTQq"
negative,1.22323689437429E+018,GOP+handful of Dems forming Bipartisan coalition to acquit @realDonaldTrump later today-By obsessing on his ouster… https://t.co/pS9im6PX9p
positive,1.22323264741931E+018,"I predicted a swift acquittal last week. Get ready to see indictments drop on the other side, the foreign governmen… https://t.co/8MTK1OzYa9"
negative,1.23232582748996E+018,"@DailyLimbaugh The coronavirus is of the same strain as SARS. I don’t listen to your show, but I ask that you infor… https://t.co/fLdGGABMx2"
positive,1.23660294889091E+018,Not Available
positive,1.22375516967173E+018,A privilege to spend his birthday with one of my favorite humans @BrentSpiner HAPPY BIRTHDAY BRENTO https://t.co/Q4FNNufjL5
negative,1.23609943267372E+018,A doctor in Victoria has been diagnosed with coronavirus after returning from the US with flu-like symptoms. He tre… https://t.co/2X10DSZMbB
negative,1.2359553384001E+018,"This is a headline from California  ""Chaos at hospitals due to shortage of coronavirus tests""  https://t.co/TPtdR6Uoy5"
positive,1.23727128615548E+018,"John Reid lost his 16-year old son in a car crash. He donated his son’s organs, including his heart. One year later… https://t.co/UJBk2Y8E97"
neutral,1.22099401695262E+018,Not Available
positive,1.2374688397739E+018,"In case you feel like your weight loss goals are taking too long, keep in mind this has taken me SIX YEARS of succe… https://t.co/sxqXU9kS8t"
neutral,1.23499114550928E+018,"Anyone else think the character's eyes in 'Connected' look too... surprised? I'm no expert, but they seems too exag… https://t.co/oMSTvse7Gf"
negative,1.2236021703539E+018,"Hillary Clinton took on Trump when he slandered these women. She worked to support women's races in 2018, which ele… https://t.co/F860kvoUfw"
negative,1.234855405463E+018,Not Available
neutral,1.22346095959701E+018,Chuck Schumer has been in office for 38 years  Nancy Pelosi has been in office for 32 years  Maxine Waters has been… https://t.co/o4SWitY2Uc
negative,1.23599862973279E+018,"In the last 24 hours, I’ve spoken to lots of sources on the Hill and in the White House and I’ve become convinced t… https://t.co/y5RECQB3SD"
negative,1.22358384288536E+018,Further proof of the awful campaign being run by @BernieSanders who is waging a campaign against the Democratic par… https://t.co/riQlVeEDBM
negative,1.23370570393789E+018,North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready i… https://t.co/lsBEivblE4
positive,1.22346319565166E+018,Damian Lillard told me he was walking into church when he saw the news about Kobe on his phone. He said even after… https://t.co/vUEqfWj3bM
negative,1.23716253158574E+018,Today in WTF #mnleg bill introductions: public libraries that host story hours that include drag queens get FULLY D… https://t.co/e4pKGBFtic
neutral,1.23197236808141E+018,WATCH: NOTHING IS HAPPENING!!! I'm telling y'all this wrecking ball is WAY too small!!! #leaningtowerofdallas… https://t.co/7tM4sGlltu
neutral,1.22326618073714E+018,Let’s say Ukraine announced an investigation into the Bidens. How would this “rig” the 2020 election? How many Amer… https://t.co/hzWVh19fhz
positive,1.23360313256476E+018,"Human feel bad. So setzer logged in &amp;changed her schedule. Next term she take How to Spoil Cat 101 (with lab), Inte… https://t.co/czXppR7Djs"
negative,1.23134542191575E+018,Not Available
neutral,1.23352948340521E+018,Watch: Bernie says a teacher shouldn't have to work 2 jobs then a teacher interrupts him &amp; says she works 4 jobs.… https://t.co/cxlx7uPWGA
positive,1.2237353751196E+018,Not Available
neutral,1.23671431163828E+018,"🚨attention omb fam! 🚨  tomorrow we've got @TheSierraCapri, @diegotinoco, and @TheJasonGenao for a Q&amp;A, start sendin… https://t.co/TzGXimSSSC"
neutral,1.23743877561929E+018,heyy #writingcommunity   im going through a vv tough writer's block.  any tips?   or any prompts?
neutral,1.23705760092518E+018,"In the 5 months since the beginning of the Corona Virus outbreak,  3800 people Worldwide Have died.  In that same p… https://t.co/4r0Q4OM1Pm"
positive,1.23714488943706E+018,'God is love' means that He tries constantly to block your route to destruction. #BillyGraham
positive,1.22361518284643E+018,@realDonaldTrump @LouDobbs America's Greatest President: - won BOTH the Electoral and Popular vote. TWICE. - did it… https://t.co/c9626E942c
neutral,1.23701251638503E+018,Not Available
positive,1.23271772273723E+018,"instead of giving up social media for lent, i decided to try to #BlessTheMedia by posting a saint quote every day.… https://t.co/lMPh6JcmvA"
positive,1.23309932926047E+018,It's with a broken heart I'm letting y'all know I failed. I have to close the shop. I feel like such a fuckin loser. #StonerFam I'm broken
neutral,1.22329845388061E+018,Folks on twitter know I'm scrupulously objective &amp; analytical about the Brexit views I put up. But on this occasion… https://t.co/182gsA4Jsz
positive,1.22407991318517E+018,Dubai displayed a tribute to Kobe and Gigi on the tallest building in the world 👏 https://t.co/YSLNd3to8y
negative,1.235945240286E+018,Sick... Sky News economics editor Ed Conway writes in @TheTimes that climate activists should embrace #coronavirus… https://t.co/sLhTLYfepM
negative,1.22277179585547E+018,Imagine cheating your way to a Federal election win via #sportsrorts  &amp; then making these comments in a speech seve… https://t.co/QSffhucLZH
positive,1.22352330754853E+018,"After 125 years of being South Africa’s proudly home-grown beer, this #SANBeerDay we want to give a shout out to so… https://t.co/r1gCdAATqh"
positive,1.22399285332548E+018,Not Available
neutral,1.2349950283191E+018,Not Available
negative,1.23637123822379E+018,First Lady Melania Trump is tantruming over criticism that she is spending her time building a White House tennis p… https://t.co/ai5LbxUrva
negative,1.23700041316714E+018,"Today on my ICU call, there’s a 25y old girl battling for her life while his father is admitted in HDU, both sustai… https://t.co/1Bwmh5GH1X"
neutral,1.22225312875147E+018,Not Available
neutral,1.22372999067358E+018,Not Available
neutral,1.23645324083066E+018,"SCOOP: Drug giant Gilead shipped a batch of its investigational drug, called Remdesivir, to China after requesting… https://t.co/yPbTB8kZZx"
neutral,1.23443584967836E+018,"Sadiq Khan not happy at being excluded from the coronavirus Cobra meeting. City Hall source: ""People might feel it… https://t.co/wXkRy4OfV3"
neutral,1.22101148073011E+018,"'a block of Green &amp; centre-left TDs could, if they were prepared to act together in a coherent &amp; disciplined manner… https://t.co/GxkqDVUFl4"
neutral,1.22358038627981E+018,The Senate acquitting Trump will be tantamount to Congress neutering itself. It will represent Congress giving a gr… https://t.co/fjKqa9tVjM
neutral,1.23648470564765E+018,"ORDER: #SanFrancisco bans events for 2 weeks due to #coronavirus, failure to comply will result in a misdemeanor pu… https://t.co/xIWP3IYmUA"
positive,1.23827890934877E+018,"For years, since experiencing trauma I’ve had trouble fully recovering from, I’ve only wanted to be home. I’ve felt… https://t.co/Hz0wc0a0mk"
positive,1.23582997072488E+018,Wishing British-Ghanaians and all those of Ghanaian heritage across the globe a happy Ghana Independence Day 🇬🇭… https://t.co/8VVazgkap3
neutral,1.23630303142946E+018,Hi- have you talked to a Republican or Trump supporter who has expressed doubt about the threat of Coronavirus beca… https://t.co/M3U99lSLRE
negative,1.22354795974648E+018,"Hey @BBCNews why are you incapable of reporting news of national interest? Today, the UK has 40 (that's FORTY!) new… https://t.co/MK3bQDjyL2"
negative,1.23186986520562E+018,The Coronavirus Chronicles keep getting weirder and weirder.  You've probably heard about the sudden outbreak of th… https://t.co/2COqonfeHt
positive,1.23448128422489E+018,"@eleven8 When you’re accustomed to privilege, equality feels like oppression."
neutral,1.23613219065373E+018,"Ok well, the bar is high but this may be the scariest interview I’ve seen yet re Coronavirus https://t.co/V9hjAozpWq"
negative,1.22361140583363E+018,Not Available
negative,1.22413823057404E+018,Not Available
negative,1.23594148657701E+018,"Larry Kudlow on coronavirus: """"I will still argue to you this is contained."""
negative,1.22329482013267E+018,"So Lamar Alexander is saying Trump did attempt to tamper w the election, but we should let the election decide Trum… https://t.co/f29bgy0gtZ"
positive,1.23452089309261E+018,Not Available
positive,1.23460843093497E+018,"I can’t stop watching this. When you see Mike Tyson in a true moment of vulnerability like this, it may be hard to… https://t.co/w8ZVOZH65Z"
positive,1.22372865851653E+018,"Happy birthday my love, thank God for your life. I love you forever!♥️ https://t.co/eCGYiwcs6k"
positive,1.22367937039877E+018,Not Available
negative,1.22229129831039E+018,Our nation is in a clean water crisis and yet Trump is determined to continue catering to polluters. Clean water is… https://t.co/QBbv6VynqS
neutral,1.22443061742272E+018,Patrick Mahomes went 16-21 as a starter at Texas Tech.   Credit to the @Chiefs for trusting the way they graded the… https://t.co/3L98yCFF6m
positive,1.23737990856683E+018,Old shot of me with the late great Phil Hartman. One of the best ever on #snl  he also did the Simpsons the list go… https://t.co/8JEvxdvlys
negative,1.23634736666553E+018,We do not have test kits for Coronavirus in most of CT.  This morning Gov Cuomo announced that they dont have nearl… https://t.co/iAvzTNnrcJ
positive,1.23703348799309E+018,Fashion designer tweet. Humour me a sec. Look at the lining of his jacket! It matches her frock... 👀 https://t.co/rcMNJf8Z9B
neutral,1.23310225960256E+018,Not Available
positive,1.23742009799365E+018,"Anybody also attending the #Chromatica Ball opening night in Paris?  If you are, make sure to reply to this tweet t… https://t.co/shLwzGxfqD"
neutral,1.23267413924198E+018,"144p to 240p videos, spanish subs, risks of virus being in your pc for downloading their songs from various sites,… https://t.co/hM2KaHKHDi"
positive,1.23270642057282E+018,Mum’s friend replaced their hallway flooring and asked if the old floorboards were any use to her before they chuck… https://t.co/GPT6lkWlzX
neutral,1.23566952490254E+018,"75 plus employees of Hachette are standing in solidarity with @ronanfarrow, @realdylanfarrow and survivors of sexua… https://t.co/sSqo6vHcAF"
negative,1.23636977116093E+018,“They’ve simply lost time they can’t make up. You can’t get back six weeks of blindness. To the extent that there’s… https://t.co/ka53kneRh9
positive,1.22350841576028E+018,"To despairing Brits this morning, may I suggest an appropriate response to this situation?  Don't go into meltdown.… https://t.co/MneGPbyKru"
neutral,1.22224691391704E+018,A quick thread summarizing the basic aspects of the Trump anti-peace plan: 1) Palestinians get the trappings of sta… https://t.co/NnrVUSFOP7
negative,1.2364007670845E+018,Trump’s pattern is to create crises by ratcheting up his rhetoric and then “solve” them by dialing it down.   Coron… https://t.co/agBN5GAsC8
negative,1.23229186117748E+018,"Yesterday, Iranian officials reassured journalists that the #coronavirus outbreak was under control. The man on the… https://t.co/ZotSrg68Sp"
negative,1.23360822244092E+018,Not Available
negative,1.23487810882367E+018,Not Available
negative,1.22313279124983E+018,#BirdsofPrey was being pitched before anyone had done an R-rated comic book film. https://t.co/E6jclPMOy4
negative,1.22224434029193E+018,And here’s Dershowitz giving Pompeo an attaboy pat on the back after Trump praises the secretary of state for berat… https://t.co/GyJZdre1Ry
positive,1.22408879426315E+018,Not Available
neutral,1.22223392545357E+018,Trump lawyer Sekulow closing by emphasizing the Ukraine money was ultimately released.   Note the implication: It w… https://t.co/SERiUr4gBr
neutral,1.22224528322197E+018,There's ample reason why Trump and his Russian backers want this 80-year-old avowed Socialist to rep the Dems at th… https://t.co/nLgPfXsPcY
neutral,1.23614973330081E+018,JUST IN: @Stanford is canceling all in-person courses for the remainder of the winter quarter due to #coronavirus c… https://t.co/OJwGOSx60m
neutral,1.22229209862124E+018,I know he's a crypto-facist draft-dodging charity-scamming  planet-destroying tiny-handed nepotistic racist fuckhea… https://t.co/363S2EV1uB
neutral,1.22258383422873E+018,The Engel news is important because it brings into the open what many have long suspected: that Bolton has been dri… https://t.co/az5ix5IdrW
neutral,1.2346241409902E+018,Not Available
positive,1.23635733117847E+018,A wonderful album. Epic. Unparalleled music from the best band.   #Animals #PinkFloyd  #BritishProgRock https://t.co/cxqJz6y7CS
positive,1.22260492214066E+018,Just watched the news with my 23 year old son &amp; his partner &amp; saw the performance of Farage &amp; the Brexit Party MEPs… https://t.co/oDadm4aOyh
neutral,1.22363611601375E+018,"@realDonaldTrump @LouDobbs Won twice, without cheating, without foreign help: America’s greatest president.… https://t.co/KhKW6AMpKw"
positive,1.22313023154177E+018,News gets around fast at the allotments. I'm sure Red Fred and E.T. must have heard about me and Dorothy yesterday… https://t.co/2aUvdqm9t6
neutral,1.23352437988939E+018,"Corona virus is like Pasta. The Chinese invented it, but the Italians spread it all over the world."
neutral,1.23776574312878E+018,Why didn’t Chancellor take chance in #Budget2020 to abolish 5wk wait for Universal Credit that is causing terrible… https://t.co/IVCCAFb0sA
negative,1.23681681663623E+018,BREAKING: A 22-year-old Guatemalan woman who passed her initial asylum screening and was in detention for several m… https://t.co/z6gTjRdGNl
negative,1.22260764004547E+018,.@AlanDersh just argued that a president who believes only he can fix it — who thinks his re-election is vital to t… https://t.co/Qnpnun8zCC
positive,1.23423589870063E+018,Not Available
neutral,1.23818227331005E+018,".@BernieSanders just called for unemployment payments specifically gig workers, tipped workers, and independent con… https://t.co/SBAOubwPRp"
positive,1.23458833702695E+018,Heres a dress I’m making been kinda skeptical about posting it cause I don’t know how I feel about it yet. https://t.co/0mdQzIdcG9
